"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
1,"NCT02735798","64-Cu Labeled Brain PET/MRI for MM-302 in Advanced HER2+ Cancers With Brain Mets",,"Withdrawn","No Results Available","Brain Metastases|Documented Her2 Overexpression|Advanced Solid Tumor|Neurologically Stable","Drug: MM-302|Drug: Trastuzumab","MM-302 drug penetration into the brain|Adverse event|Overall response rate|Progession-free survival|CNS response rate|Systemic response rate|Adverse Event","Pamela Munster|University of California, San Francisco","All","18 Years and older   (Adult, Older Adult)","Early Phase 1","0","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","15952","April 2016","June 2017","June 2018","April 13, 2016","null","May 4, 2017","","","https://ClinicalTrials.gov/show/NCT02735798"
2,"NCT03582254","Role of [18F]-FDG Brain PET in Newly Diagnosed Primary Cerebral Lymphoma, in Immunocompetent Patient Older Than 60 Years","LOCALYSE","Recruiting","No Results Available","Primary Central Nervous System Lymphoma","Radiation: [18F]-FDG PET/MR","Progression free survival calculated from the date of completion of the end of chemotherapy PET","Assistance Publique - Hôpitaux de Paris","All","18 Years to 60 Years   (Adult)","Not Applicable","56","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","AOR14101|2014-002597-37","June 13, 2016","May 12, 2020","May 12, 2020","July 10, 2018","null","July 10, 2018","Pitié Salpêtrière Hospital, Paris, France","","https://ClinicalTrials.gov/show/NCT03582254"
3,"NCT00800709","Memantine and Changes of Biological Markers and Brain PET Imaging in Alzheimer's Disease",,"Completed","No Results Available","Alzheimer's Disease","Drug: Memantine","biological markers of CSF|18[F]-FDG-PET of brain|cognitive function|behavior and activities of daily living|short term memory","Shanghai Mental Health Center|H. Lundbeck A/S","All","50 Years to 90 Years   (Adult, Older Adult)","Phase 4","26","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","IIT_12484A","July 2008","October 2010","October 2010","December 2, 2008","null","December 3, 2010","Department of Psychogeriatrics，Shanghai Mental Health Center, Shanghai, Shanghai, China","","https://ClinicalTrials.gov/show/NCT00800709"
4,"NCT01801371","68Ga-BNOTA-PRGD2 PET/CT in Diagnosis and Evaluation of Glioma","GRGDG","Recruiting","No Results Available","Glioma","Drug: 68Ga-BNOTA-PRGD2","Semiquantitative measurement of standardized uptake values (SUVs) of lesions|Number of participants with adverse events as a measure of safety","Peking Union Medical College Hospital|Beijing Tiantan Hospital","All","18 Years and older   (Adult, Older Adult)","Early Phase 1","30","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","PUMCHNM6","October 2012","December 2017","December 2017","February 28, 2013","null","April 7, 2017","Peking Union Medical College Hospital, Beijing, Beijing, China","","https://ClinicalTrials.gov/show/NCT01801371"
5,"NCT03370809","Assessment of Positron Emission Tomography to Early Detect Frailty in Onco-geriatry","FOGTEP","Not yet recruiting","No Results Available","Patients Over 75 Years Old With a Cancer Discovery","Radiation: Brain PET/CT step","Volume of brain with damages detected by quantitative analysis SPM (Statistical Parametric Mapping)|Volume of brain with damages detected by quantitative analysis SPM between 2 patient's group with MMSE (MiniMental State Examination) results and threshold value as 24|Volume of brain with damages detected by quantitative analysis SPM between 2 patient's groups with GDS (Geriatric Depression Scale) results and threshold value as 5|Volume of brain with damages detected by quantitative analysis SPM between different groups according to the SIOG-2 scale|Volume of brain with damages detected by quantitative analysis SPM between 2 patient's groups according to an unscheduled hospitalisation over 6 months or no|Volume of brain with damages detected by quantitative analysis SPM between 2 patient's groups according to non cancer related death at 12 months or no","Central Hospital, Nancy, France","All","75 Years and older   (Older Adult)","Not Applicable","160","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","PSS2017/FOGTEP-VERGER/VS","July 18, 2018","March 2019","March 2020","December 12, 2017","null","July 23, 2018","","","https://ClinicalTrials.gov/show/NCT03370809"
6,"NCT01607476","Bridging Study of C11 Pittsburgh Compound B (PiB) and F18 Flutemetamol Brain Positron Emission Tomography (PET)",,"Completed","Has Results","Alzheimer's Disease","Drug: C11 PiB|Drug: F18 Flutametamol","Global Distribution of C11 PiB in the Brain|Global Distribution of F18 Flutemetamol in the Brain","Mayo Clinic","All","30 Years and older   (Adult, Older Adult)","Phase 2","89","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science","12-000118","July 2012","December 2014","March 2016","May 30, 2012","November 1, 2016","April 18, 2017","Mayo Clinic Rochester, Rochester, Minnesota, United States","","https://ClinicalTrials.gov/show/NCT01607476"
7,"NCT03305705","Effect of Iron on Cerebral Dopamine Receptor Density in Non-anaemic Premenopausal Women With Low Ferritin and Fatigue",,"Not yet recruiting","No Results Available","Fatigue|Iron-deficiency","Drug: Iron Carboxymaltose|Drug: Sodium chloride 0.9%","Dopamine (DA) receptor density|Fatigue|Neuropsychological symptoms","Albina Nowak, MD|University of Zurich","Female","18 Years to 55 Years   (Adult)","Phase 4","20","Other","Interventional","Allocation: Randomized|Intervention Model: Sequential Assignment|Masking: Double (Participant, Outcomes Assessor)|Primary Purpose: Basic Science","BASEC-Nr. PB_2017-00429|KEK-ZH-Nr. 2014-0217","October 23, 2017","August 31, 2019","August 31, 2019","October 10, 2017","null","October 13, 2017","University Hospital Zurich, Zürich, Switzerland","","https://ClinicalTrials.gov/show/NCT03305705"
8,"NCT03368677","Effect of Teriflunomide Treatment on Microglial Activation in an MS Patient Cohort at Risk of Progression","TERIPET","Recruiting","No Results Available","Multiple Sclerosis","","Change of 11C-PK11195-radioligand binding using PET|MRI metrics|EDSS|BICAMS","Turku University Hospital","All","40 Years to 55 Years   (Adult)","","30","Other","Observational","Observational Model: Case-Control|Time Perspective: Prospective","TERIPET","December 1, 2017","November 2022","November 2024","December 11, 2017","null","February 8, 2018","Turku PET Centre, Turku, Finland Proper, Finland","","https://ClinicalTrials.gov/show/NCT03368677"
9,"NCT02139696","Sphingosine-1 Phosphate -Receptor Targeting and Microglial Activation","FINGOPET","Completed","No Results Available","Multiple Sclerosis","Radiation: PET and MRI","Change of 11C-PK11195-radioligand binding using PET|MRI metrics","Turku University Hospital","All","18 Years to 58 Years   (Adult)","","10","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","FINGOPET","September 2013","January 2015","October 2016","May 15, 2014","null","May 10, 2018","Turku University Hospital, Turku, Finland","","https://ClinicalTrials.gov/show/NCT02139696"
10,"NCT01886820","A Phase 3 Clinical Trial to Evaluate the Efficacy and Safety of [18F]NAV4694 PET for Detection of Cerebral Beta-Amyloid When Compared With Postmortem Histopathology",,"Active, not recruiting","No Results Available","Dementia|Alzheimer's Disease","Drug: [18F]NAV4694","Incidence of [18F]NAV4694 Brain PET scan positivity compared to histopathology|Quantification of [18F]NAV4694 brain PET Scan positivity compared to histopathology|Incidence of [18F]NAV4694 PET Scan positivity in 6 pre-specified brain regions compared to histopathology|Quantification of [18F]NAV4694 PET Scan positivity in 6 pre-specified brain regions compared to histopathology|Incidence of adverse events","Navidea Biopharmaceuticals","All","21 Years and older   (Adult, Older Adult)","Phase 3","290","Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","NAV4-02","June 2013","June 2018","September 2018","June 26, 2013","null","July 26, 2017","Banner Sun Health Research Institute, Sun City, Arizona, United States|University of California San Diego, La Jolla, California, United States|Neuropsychiatric Research Center of Southwest Florida, Fort Myers, Florida, United States|Mount Sinai Medical Center of Florida, Miami Beach, Florida, United States|Galiz Research, Miami Springs, Florida, United States|Compass Research, Orlando, Florida, United States|Physicians Care Clinical Research, Sarasota, Florida, United States|Rush University Medical Center, Chicago, Illinois, United States|Southern Illinois University School of Medicine, Springfield, Illinois, United States|Biomedical Research Foundation, Shreveport, Louisiana, United States|Las Vegas Radiology, Las Vegas, Nevada, United States|Albert Einstein College of Medicine, The Bronx, New York, United States|The University of North Carolina at Chapel Hill, Chapel Hill, North Carolina, United States|Wake Forest Baptist Health-Gerontology, Winston-Salem, North Carolina, United States|Valley Medical Center, Centerville, Ohio, United States","","https://ClinicalTrials.gov/show/NCT01886820"
